Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
120,SONP/SP/467283/2020,Uniwersytet Medyczny w Białymstoku,Od Akademii Lekarskiej do Uniwersytetu Medycznego. Dziedzictwo medyczne w Białymstoku,85000,2020-05-07,SON I konkurs I,Popularyzacja
121,SONP/SP/465244/2020,Uniwersytet Medyczny w Lublinie,Z UMLubem po zdrowie,110399.49,2020-05-07,SON I konkurs I,Popularyzacja
122,SONP/SP/466942/2020,Uniwersytet Medyczny w Lublinie,Promocja i rozwój lubelskiego żeglarstwa akademickiego,83277,2020-05-07,SON I konkurs I,Popularyzacja
123,SONP/SP/467343/2020,Uniwersytet Medyczny w Łodzi,"""Jak działa Człowiek"" - seria filmów popularyzujących nauki medyczne.",288400.24,2020-05-07,SON I konkurs I,Popularyzacja
124,SONP/SP/468638/2020,Uniwersytet Morski w Gdyni,I Morski Festiwal Nauki,90000,2020-05-07,SON I konkurs I,Popularyzacja
125,SONP/SP/466007/2020,Uniwersytet Morski w Gdyni,IV Festyn Sportowy o Puchar Rektora Uniwersytetu Morskiego w Gdyni,56000,2020-05-07,SON I konkurs I,Popularyzacja
126,SONP/SP/461712/2020,Uniwersytet Opolski,Pedagogia tolerancji. Podążając za Karolem Wojtyłą,865000,2020-05-07,SON I konkurs I,Popularyzacja
127,SONP/SP/461919/2020,Uniwersytet Opolski,XVIII Opolski Festiwal Nauki,283200,2020-05-07,SON I konkurs I,Popularyzacja
128,SONP/SP/462697/2020,Uniwersytet Przyrodniczo- Humanistyczny w Siedlcach,Uniwersytet sportowy,220000,2020-05-07,SON I konkurs I,Popularyzacja
129,SONP/SP/466401/2020,Uniwersytet Szczeciński,Interdyscyplinarna popularyzacja nauki i integracja społeczna studentów i uczniów,275600,2020-05-07,SON I konkurs I,Popularyzacja
130,SONP/SP/466871/2020,Uniwersytet Śląski w Katowicach,Sprawny Student,342858.7,2020-05-07,SON I konkurs I,Popularyzacja
131,SONP/SP/466906/2020,Uniwersytet Śląski w Katowicach,Nauka bliżej Ciebie – upowszechnianie efektów działalności naukowobadawczej Uniwersytetu Śląskiego,410000,2020-05-07,SON I konkurs I,Popularyzacja
132,SONP/SP/465677/2020,Uniwersytet Śląski w Katowicach,Akcja Popularyzacja,689791.95,2020-05-07,SON I konkurs I,Popularyzacja
133,SONP/SP/466389/2020,Uniwersytet Śląski w Katowicach,5. Śląski Festiwal Nauki KATOWICE,500000,2020-05-07,SON I konkurs I,Popularyzacja
134,SONP/SP/463184/2020,Uniwersytet Technologiczno- Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy,"Cykl wykładów ""Opowieści naukowej treści""",27777,2020-05-07,SON I konkurs I,Popularyzacja
135,SONP/SP/466818/2020,Uniwersytet w Białymstoku,Aktywna kultura pamięci: kobiece doświadczenie obozu koncentracyjnego,68889,2020-05-07,SON I konkurs I,Popularyzacja
136,SONP/SP/461491/2020,Uniwersytet WarmińskoMazurski w Olsztynie,18. Olsztyńskie Dni Nauki i Sztuki,244733,2020-05-07,SON I konkurs I,Popularyzacja
137,SONP/SP/461549/2020,Uniwersytet WarmińskoMazurski w Olsztynie,Spotkania z nauką,200000,2020-05-07,SON I konkurs I,Popularyzacja
138,SONP/SP/464054/2020,Uniwersytet Warszawski,24. Festiwal Nauki w Warszawie,177000,2020-05-07,SON I konkurs I,Popularyzacja
139,SONP/SP/466075/2020,Uniwersytet Warszawski,Matematyka i Informatyka wokół Ciebie,315000,2020-05-07,SON I konkurs I,Popularyzacja
140,SONP/SP/461466/2020,Uniwersytet Wrocławski,XXIII Dolnośląski Festiwal Nauki 2020,400000,2020-05-07,SON I konkurs I,Popularyzacja
141,SONP/SP/462899/2020,Warszawski Uniwersytet Medyczny,Poznaj tajemnice ciała ludzkiego w teatrze anatomicznym XXI w.,266175.51,2020-05-07,SON I konkurs I,Popularyzacja
142,SONP/SP/463594/2020,Warszawski Uniwersytet Medyczny,Akademia Nauk o Zdrowiu WUM,135000,2020-05-07,SON I konkurs I,Popularyzacja
143,SONP/SN/465574/2020,Wyższa Szkoła Ekonomii i Innowacji w Lublinie,Wiosna jesieni - o jakości życia osób starszych,157200,2020-05-07,SON I konkurs I,Popularyzacja
144,SONP/SN/461339/2020,Wyższa Szkoła Humanistyczna TWP w Szczecinie,Nauka kluczem do świata,627073,2020-05-07,SON I konkurs I,Popularyzacja
145,SONP/SN/467393/2020,Wyższa Szkoła Humanitas,Forum Innowacyjności,39000,2020-05-07,SON I konkurs I,Popularyzacja
146,SONP/SN/467742/2020,Wyższa Szkoła Humanitas,Diagnostyka obrazowa w onkologii - popularyzacja profilaktyki nowotworowej,46700,2020-05-07,SON I konkurs I,Popularyzacja
147,SONP/SN/468350/2020,Wyższa Szkoła Humanitas,Dni Mózgu w Wyższej Szkole Humanitas,35200,2020-05-07,SON I konkurs I,Popularyzacja
148,SONP/SN/467134/2020,Wyższa Szkoła Pedagogiczna im. Janusza Korczaka w Warszawie,Polska Akademia Janusza Korczaka,251800,2020-05-07,SON I konkurs I,Popularyzacja
149,SONP/SN/467137/2020,Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach,II Forum Safety First - aktywne budowanie kultury bezpieczeństwa,21800,2020-05-07,SON I konkurs I,Popularyzacja
