Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
77.,SONP/SP/550694/2022,Katolicki Uniwersytet Lubelski Jana Pawła II,Młody naukowiec  - cykl audiowizualny,600000,2022-09-26,SON I konkurs III,Popularyzacja
78.,SONP/SN/551016/2022,Krakowski Instytut Prawa Karnego Fundacja,Łączy Nas Karne,59000,2022-09-26,SON I konkurs III,Popularyzacja
79.,SONP/SN/547475/2022,Łódzkie Towarzystwo Naukowe,"XXI i XXII Festiwal Nauki, Techniki i Sztuki w Łodzi",397100,2022-09-26,SON I konkurs III,Popularyzacja
80.,SONP/SP/550685/2022,Mazowiecka Uczelnia Publiczna w Płocku,Uniwersytet  3M– most implementacji osiągnięć medycznych do kształcenia oraz życia codziennego,69542,2022-09-26,SON I konkurs III,Popularyzacja
81.,SONP/SP/546507/2022,Międzynarodowy Instytut Biologii Molekularnej i Komórkowej w Warszawie,Jestem na proTAK - edukacyjna gra komputerowa przybliżająca tematykę degradacji białek,101706,2022-09-26,SON I konkurs III,Popularyzacja
82.,SONP/SP/547331/2022,Muzeum i Instytut Zoologii Polskiej Akademii Nauk,Mobilne warsztaty przyrodniczo-muzealne,309427,2022-09-26,SON I konkurs III,Popularyzacja
83.,SONP/SP/550710/2022,Muzeum Regionalne w Kutnie,Pejzaże pamięci- wspomnienia uczennic z lat 1969-1973 jako wynik etnograficznych badań naukowych,39000,2022-09-26,SON I konkurs III,Popularyzacja
84.,SONP/SN/546811/2022,"Niepubliczna Poradnia Psychologiczno-Pedagogiczna ""Prymus""",Recepta na zdrowie 2.0,455770,2022-09-26,SON I konkurs III,Popularyzacja
85.,SONP/SP/550200/2022,"Ośrodek ""Pamięć i Przyszłość""","Wystawa mobilna ""Dziedzictwa Ziem Zachodnich i Północnych""",366600,2022-09-26,SON I konkurs III,Popularyzacja
86.,SONP/SP/550044/2022,Państwowa Wyższa Szkoła Zawodowa w Chełmie,Młodzi odkrywcy - inżynieria bez tajemnic,206245,2022-09-26,SON I konkurs III,Popularyzacja
87.,SONP/SP/547761/2022,Państwowa Wyższa Szkoła Zawodowa w Nysie,Nyska Akademia Seniora - aktywizacja,214448.5,2022-09-26,SON I konkurs III,Popularyzacja
88.,SONP/SP/550650/2022,Państwowa Wyższa Szkoła Zawodowa w Nysie,Wsparcie dla zrównoważonej przyszłości,224202,2022-09-26,SON I konkurs III,Popularyzacja
89.,SONP/SP/551007/2022,Podhalańska Państwowa Uczelnia Zawodowa w Nowym Targu,Akademickie Mistrzostwa Polski w kolarstwie szosowym,35070,2022-09-26,SON I konkurs III,Popularyzacja
90.,SONP/SN/549826/2022,Podlaski Uniwersytet Trzeciego Wieku,Akademia Zdrowego Seniora - II Edycja,161145,2022-09-26,SON I konkurs III,Popularyzacja
91.,SONP/SP/547949/2022,Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich,Interaktywna Kujawsko-Pomorska Wszechnica Efektywnego Zarządzania Energią w Środowisku Człowieka,622000,2022-09-26,SON I konkurs III,Popularyzacja
92.,SONP/SP/548653/2022,Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich,"„Nie Taka Straszna Chemia - Akademia Kreatywności""",105713,2022-09-26,SON I konkurs III,Popularyzacja
93.,SONP/SP/550041/2022,Politechnika Gdańska,Akademickie Miasteczka Lekkoatletyczne,111000,2022-09-26,SON I konkurs III,Popularyzacja
94.,SONP/SP/546870/2022,Politechnika Koszalińska,XXI Zachodniopomorski Festiwal Nauki w Politechnice Koszalińskiej,77495,2022-09-26,SON I konkurs III,Popularyzacja
95.,SONP/SP/550941/2022,Politechnika Koszalińska,Wybór drogi zawodowej w świetle osiągnięć naukowych,202400,2022-09-26,SON I konkurs III,Popularyzacja
96.,SONP/SP/547434/2022,Politechnika Krakowska im. Tadeusza Kościuszki,Akademia Młodego Projektanta,338000,2022-09-26,SON I konkurs III,Popularyzacja
97.,SONP/SP/546092/2022,Politechnika Lubelska,Baza danych o zawartości polskich czasopism technicznych BazTech edycja 2022-2024,923305.54,2022-09-26,SON I konkurs III,Popularyzacja
98.,SONP/SP/546777/2022,Politechnika Lubelska,POLLUB SPORT - Promocja sportu wśród lubelskiej społeczności,464194,2022-09-26,SON I konkurs III,Popularyzacja
99.,SONP/SP/546881/2022,Politechnika Lubelska,Nauka da się POLLUB-ić!,519778,2022-09-26,SON I konkurs III,Popularyzacja
100.,SONP/SP/548415/2022,Politechnika Poznańska,"Wymyśl, ochroń, opatentuj...",188000,2022-09-26,SON I konkurs III,Popularyzacja
101.,SONP/SP/549024/2022,Politechnika Śląska,Noc Naukowców Politechniki Śląskiej 2022,103785,2022-09-26,SON I konkurs III,Popularyzacja
102.,SONP/SP/550028/2022,Politechnika Śląska,Upowszechnianie wiedzy nt. algorytmów i modeli informatycznych poprzez konkurs Algorytmion,118112,2022-09-26,SON I konkurs III,Popularyzacja
103.,SONP/SP/550515/2022,Politechnika Śląska,Obserwatorium Technologii Przemysłu 4.0.  Rozwój. Implementacje. Kompetencje. Akceptacja RIKA,261310,2022-09-26,SON I konkurs III,Popularyzacja
104.,SONP/SP/549659/2022,Politechnika Świętokrzyska,XIII i XIV edycja Ogólnopolskiego Konkursu Student-Wynalazca oraz promocja zgłoszonych rozwiązań.,430430,2022-09-26,SON I konkurs III,Popularyzacja
105.,SONP/SP/550220/2022,Politechnika Świętokrzyska,Świat Młodego Odkrywcy - Festiwal Nauki i Techniki dla dzieci i młodzieży,328260,2022-09-26,SON I konkurs III,Popularyzacja
106.,SONP/SP/550323/2022,Politechnika Świętokrzyska,Przez SPORT ... na Politechnikę!,96932,2022-09-26,SON I konkurs III,Popularyzacja
107.,SONP/SP/550340/2022,Politechnika Świętokrzyska,POLIBUS - nauka na kołach 2022/2024,218050,2022-09-26,SON I konkurs III,Popularyzacja
108.,SONP/SP/547198/2022,Politechnika Wrocławska,Młody Chemik zdobywa wiedzę,22805,2022-09-26,SON I konkurs III,Popularyzacja
109.,SONP/SN/547090/2022,Polska Fundacja Filary Rozwoju,Nauka jest przygodą,500000,2022-09-26,SON I konkurs III,Popularyzacja
110.,SONP/SN/546548/2022,Polskie Towarzystwo Astronomiczne,Cykliczny ogólnopolski program telewizyjny ASTRONARIUM,1000000,2022-09-26,SON I konkurs III,Popularyzacja
111.,SONP/SP/549569/2022,Polskie Towarzystwo Fizyczne,Poszukiwanie talentów na miarę Mieczysława Wolfkego,258170,2022-09-26,SON I konkurs III,Popularyzacja
112.,SONP/SP/550530/2022,Polskie Towarzystwo Historyczne,HISTORIA 4.0 - cykl wydarzeń promujących HISTORIĘ jako naukę,206000,2022-09-26,SON I konkurs III,Popularyzacja
113.,SONP/SP/547553/2022,Sieć Badawcza ŁUKASIEWICZ - Instytut Ceramiki i Materiałów Budowlanych,Szkło pod lupą Łukasiewicza - projekt edukacyjny dla dzieci i młodzieży,313895,2022-09-26,SON I konkurs III,Popularyzacja
114.,SONP/SN/550722/2022,Sieć Badawcza ŁUKASIEWICZ - Instytut Włókiennictwa,Popularyzacja wiedzy włókienniczej jako sposób kształtowania postaw proekologicznych u dzieci,231975,2022-09-26,SON I konkurs III,Popularyzacja
115.,SONP/SN/550982/2022,"Stowarzyszenie ""Pracownia Etnograficzna"" im. Witolda Dynowskiego",Pracownia Warecka,136290,2022-09-26,SON I konkurs III,Popularyzacja
116.,SONP/SN/550401/2022,"Stowarzyszenie ""Telewizja Regionalna-Stowarzyszenie Europejskie""",Budowniczowie świata - kontynuacja,350400,2022-09-26,SON I konkurs III,Popularyzacja
117.,SONP/SP/546438/2022,Stowarzyszenie Ars Scientia,Experymentarium 3Z - Zobacz! Zbuduj! Zademonstruj! - warsztatowa edukacja naukowo-techniczna,127300,2022-09-26,SON I konkurs III,Popularyzacja
118.,SONP/SN/549779/2022,Stowarzyszenie Bibliotekarzy Polskich,Informacja i komunikacja – popularyzacja badań naukowych i rozwiązań technologicznych,67000,2022-09-26,SON I konkurs III,Popularyzacja
119.,SONP/SP/549831/2022,Stowarzyszenie Polskich Wynalazców i Racjonalizatorów,Organizacja Międzynarodowej Warszawskiej Wystawy Wynalazków IWIS 2022,168700,2022-09-26,SON I konkurs III,Popularyzacja
120.,SONP/SN/549607/2022,"Stowarzyszenie Promocji Polskiej Nauki, Techniki i Innowacji",International Exhibition of Innovation - IEI 2023,115500,2022-09-26,SON I konkurs III,Popularyzacja
121.,SONP/SN/550715/2022,Stowarzyszenie Rzecznicy Nauki,Kopernik była kobieta sezon 7,900000,2022-09-26,SON I konkurs III,Popularyzacja
122.,SONP/SN/551101/2022,Stowarzyszenie Sportowe Klub Sportowy AGH Kraków,Popularyzacja brydża sportowego w środowisku akademickim AGH,110282,2022-09-26,SON I konkurs III,Popularyzacja
123.,SONP/SN/551222/2022,Stowarzyszenie Sportowe Klub Sportowy AGH Kraków,Puchar AZS AGH w unihokeju,110720,2022-09-26,SON I konkurs III,Popularyzacja
124.,SONP/SP/546795/2022,Śląski Uniwersytet Medyczny w Katowicach,Apetyt na zdrowe żywienie,180470,2022-09-26,SON I konkurs III,Popularyzacja
125.,SONP/SP/548224/2022,Śląski Uniwersytet Medyczny w Katowicach,Schody Zdrowia-edukacja i nauka wyznacznikiem zdrowego i otwartego społeczeństwa,651647.24,2022-09-26,SON I konkurs III,Popularyzacja
126.,SONP/SP/548555/2022,Śląski Uniwersytet Medyczny w Katowicach,"Jak wykorzystać wiedzę o fizjologii do zwalczania lęku, bezsenności i ""mgły mózgowej"" po COVID-19?",138051.82,2022-09-26,SON I konkurs III,Popularyzacja
127.,SONP/SP/548813/2022,Śląski Uniwersytet Medyczny w Katowicach,Ciało człowieka bez tajemnic,80266.84,2022-09-26,SON I konkurs III,Popularyzacja
128.,SONP/SP/551170/2022,Śląski Uniwersytet Medyczny w Katowicach,Promocja zdrowia reprodukcyjnego z wykorzystaniem internetowych portali społecznościowych,362213,2022-09-26,SON I konkurs III,Popularyzacja
129.,SONP/SN/548142/2022,Tarnowska Szkoła Wyższa,III Tarnowski Festiwal Nauki,78750,2022-09-26,SON I konkurs III,Popularyzacja
130.,SONP/SN/550030/2022,Towarzystwo Wolnej Wszechnicy Polskiej oddział w Lublinie,Popularyzacja  wiedzy z zakresu kultury i religii - Lubelski Uniwersytet Trzeciego Wieku,28700,2022-09-26,SON I konkurs III,Popularyzacja
