Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
92,POPUL/SP/0307/2024/02,Instytut Slawistyki Polskiej Akademii Nauk,70 lat Instytutu Slawistyki PAN: tradycja i nowoczesność,45980,2024-11-04,SON II,Popularyzacja
93,POPUL/SP/0308/2024/02,Instytut Slawistyki Polskiej Akademii Nauk,"W ciągłym ruchu, rzecz o globalnej migracji",137750,2024-11-04,SON II,Popularyzacja
94,POPUL/SP/0349/2024/02,Polskie Towarzystwo Historyczne,KlioPomerana. Cyfrowa historia Pomorza Zachodniego,718300,2024-11-04,SON II,Popularyzacja
95,POPUL/SP/0355/2024/02,Polskie Towarzystwo Historyczne,Elbląski e-podręcznik. Popularyzacja osiągnięć naukowych dotyczących historii regionu,207920,2024-11-04,SON II,Popularyzacja
96,POPUL/SP/0452/2024/02,Polskie Towarzystwo Filozoficzne,Wirtualne Muzeum Szkoły Lwowsko-Warszawskiej. Etap pierwszy: antyirracjonalizm i myślenie krytyczne,576500,2024-11-04,SON II,Popularyzacja
97,POPUL/SP/0480/2024/02,Instytut Północny im. W. Kętrzyńskiego,"Wystawa mobilna ""Przemiany. Krajobraz kulturowy Warmii i Mazur 1945-2025""",489000,2024-11-04,SON II,Popularyzacja
98,POPUL/SP/0501/2024/02,Centrum Nauki Experyment w Gdyni,ScienceCom - ABC naukowej komunikacji 2.0,136260,2024-11-04,SON II,Popularyzacja
99,POPUL/SP/0503/2024/02,Centrum Nauki Experyment,Science UP! Dorosły w Centrum,378146,2024-11-04,SON II,Popularyzacja
100,POPUL/SP/0507/2024/02,Muzeum Azji i Pacyfiku im. Andrzeja Wawrzyniaka w Warszawie,Cykl wydarzeń poświęconych prof. Ananiaszowi Zajączkowskiemu i kulturze Karaimów w Polsce,42900,2024-11-04,SON II,Popularyzacja
101,POPUL/SP/0532/2024/02,Polskie Towarzystwo Fizyczne,"""Na pograniczu"" - nauka, muzyka, gospodarka",67000,2024-11-04,SON II,Popularyzacja
