Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
78,SONP/SN/511998/2021,Krajowy Fundusz na rzecz Dzieci,Młodzi naukowcy,998755,2021-12-31,SON I konkurs II,Popularyzacja
79,SONP/SN/512018/2021,Krakowska Akademia im. Andrzeja Frycza Modrzewskiego,Wykłady dla Wojsk Obrony Terytorialnej,36597,2021-12-31,SON I konkurs II,Popularyzacja
80,SONP/SN/515145/2021,Krakowskie Stowarzyszenie Mówców,VI Akademickie Mistrzostwa Polski Debat Oksfordzkich,371500,2021-12-31,SON I konkurs II,Popularyzacja
81,SONP/SP/511978/2021,Lotnicza Akademia Wojskowa,95 wykładów na 95-lecie Szkoły Orląt,26345,2021-12-31,SON I konkurs II,Popularyzacja
82,SONP/SP/512261/2021,Lotnicza Akademia Wojskowa,Naukowo-Sportowy Piknik Lotniczy,300000,2021-12-31,SON I konkurs II,Popularyzacja
83,SONP/SP/513756/2021,Mazowiecka Uczelnia Publiczna w Płocku,Mazowiecka Akademia Biegacza,45140,2021-12-31,SON I konkurs II,Popularyzacja
84,SONP/SP/515048/2021,Mazowiecka Uczelnia Publiczna w Płocku,Klinimetria w doskonaleniu  jakości świadczeń zdrowotnych i kształcenia na kierunkach medycznych,87400,2021-12-31,SON I konkurs II,Popularyzacja
85,SONP/SP/513774/2021,Mazowiecka Uczelnia Publiczna w Płocku,Akademia Ekonomii Praktycznej - warsztaty dla młodzieży,40800,2021-12-31,SON I konkurs II,Popularyzacja
86,SONP/SP/514116/2021,Morski Instytut Rybacki - Państwowy Instytut Badawczy,Bałtycki Naukowiec – cykl filmów popularyzujących nauki o Morzu Bałtyckim dla dzieci szkolnych,247680,2021-12-31,SON I konkurs II,Popularyzacja
87,SONP/SP/513882/2021,Muzeum Inżynierii Miejskiej w Krakowie,W LEMbiryncie przyszłości,114800,2021-12-31,SON I konkurs II,Popularyzacja
88,SONP/SP/514566/2021,Narodowe Centrum Badań Jądrowych,Wirtualne Dni Otwartych Drzwi NCBJ i OJ Świerk,198000,2021-12-31,SON I konkurs II,Popularyzacja
89,SONP/SP/513714/2021,Narodowe Centrum Badań Jądrowych,Detektory edukacyjne dla szkół,110000,2021-12-31,SON I konkurs II,Popularyzacja
90,SONP/SN/515292/2021,Niezależne Zrzeszenie Studentów,Konkurs Konstrukcji Studenckich,195200,2021-12-31,SON I konkurs II,Popularyzacja
91,SONP/SN/513963/2021,Niezależne Zrzeszenie Studentów,Studencki Nobel,200000,2021-12-31,SON I konkurs II,Popularyzacja
92,SONP/SN/513487/2021,Oddział Polski The Explorers Club,W Kanionie Colca - 40 lat później,51300,2021-12-31,SON I konkurs II,Popularyzacja
93,SONP/SN/513540/2021,Oddział Polski The Explorers Club,Ambasadorowie polskiej nauki. Odkrywcy i podróżnicy od Benedykta Polaka do Jerzego Gąssowskiego,280000,2021-12-31,SON I konkurs II,Popularyzacja
94,SONP/SP/514371/2021,Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej,Aktywność fizyczna - studencka pasja,58894,2021-12-31,SON I konkurs II,Popularyzacja
95,SONP/SP/512696/2021,Państwowa Wyższa Szkoła Informatyki i Przedsiębiorczości w Łomży,Wychowanie w świecie wirtualnym - popularyzacja wiedzy wśród rodziców i nauczycieli,150000,2021-12-31,SON I konkurs II,Popularyzacja
96,SONP/SP/514820/2021,Państwowa Wyższa Szkoła Zawodowa w Chełmie,Chełmskie spotkania z nauką,118750,2021-12-31,SON I konkurs II,Popularyzacja
97,SONP/SP/513577/2021,Państwowa Wyższa Szkoła Zawodowa w Chełmie,"Sztuka mówienia, czyli jak odzyskać głos po pandemii Popularyzacja zagadnień  z zakresu komunikacji",40000,2021-12-31,SON I konkurs II,Popularyzacja
98,SONP/SP/516085/2021,Państwowa Wyższa Szkoła Zawodowa w Nysie,"ERA Nauki w PWSZ w Nysie czyli Edukacja, Rozwój i Aktywność w Nauce",248618,2021-12-31,SON I konkurs II,Popularyzacja
99,SONP/SP/513109/2021,Parlament Studentów Rzeczypospolitej Polskiej,Adepci Nauki!,200000,2021-12-31,SON I konkurs II,Popularyzacja
100,SONP/SP/514934/2021,Podhalańska Państwowa Uczelnia Zawodowa w Nowym Targu,Akademicki Puchar Polski w kolarstwie szosowym,29700,2021-12-31,SON I konkurs II,Popularyzacja
101,SONP/SP/513510/2021,Politechnika Białostocka,Podlascy pasjonaci nauki,109900,2021-12-31,SON I konkurs II,Popularyzacja
102,SONP/SP/514067/2021,Politechnika Częstochowska,HUB Innowacji Energetycznych i popularyzacji nauki na Wydziale Infrastruktury  i Środowiska PCz,50000,2021-12-31,SON I konkurs II,Popularyzacja
103,SONP/SP/514077/2021,Politechnika Gdańska,Pomorska Liga Akademicka 3x3,150000,2021-12-31,SON I konkurs II,Popularyzacja
104,SONP/SP/514899/2021,Politechnika Gdańska,Pomorska Liga Akademicka w Duathlonie,90000,2021-12-31,SON I konkurs II,Popularyzacja
105,SONP/SP/515255/2021,Politechnika Koszalińska,"Gospodarka 4.0, Przemysł 4.0, Logistyka 4.0, Mobilność 4.0, Otwarcie na przyszłość i świat - wykłady",141150,2021-12-31,SON I konkurs II,Popularyzacja
106,SONP/SP/513878/2021,Politechnika Lubelska,Technika akademickie jako departamenty promocji nauki w otoczeniu społeczno-biznesowym,400000,2021-12-31,SON I konkurs II,Popularyzacja
107,SONP/SP/514242/2021,Politechnika Łódzka,Łódzka Akademia Przyszłości - ŁAP Naukę,560923,2021-12-31,SON I konkurs II,Popularyzacja
108,SONP/SP/515026/2021,Politechnika Łódzka,Promocja polskiego sportu akademickiego na Europejskich Igrzyskach Sportowych EUG Łódź 2022,899033.9,2021-12-31,SON I konkurs II,Popularyzacja
109,SONP/SP/513090/2021,Politechnika Poznańska,Odpowiedzialni inżynierowie dla otoczenia społecznego - trzecia misja Politechniki Poznańskiej,300000,2021-12-31,SON I konkurs II,Popularyzacja
110,SONP/SP/511966/2021,Politechnika Śląska,Noc Naukowców Politechniki Śląskiej 2021,65429.1,2021-12-31,SON I konkurs II,Popularyzacja
111,SONP/SP/513628/2021,Politechnika Śląska,AFTER COVID - Popularyzacja nauki i sportu jako element niwelowania konsekwencji pandemii COVID-19,100000,2021-12-31,SON I konkurs II,Popularyzacja
112,SONP/SP/512777/2021,Politechnika Świętokrzyska,Metrologia - szansa i wyzwanie przyszłości.,567490,2021-12-31,SON I konkurs II,Popularyzacja
113,SONP/SP/514095/2021,Politechnika Warszawska,Kampus CEZAMAT - miejscem inspiracji i edukacji. Sztuka przyciągania do nauki i wiedzy,240000,2021-12-31,SON I konkurs II,Popularyzacja
114,SONP/SP/514179/2021,Politechnika Warszawska,Politechniczna strefa sportowa - promowanie aktywności fizycznej w Warszawie i na Mazowszu,321328.7,2021-12-31,SON I konkurs II,Popularyzacja
115,SONP/SP/514237/2021,Polskie Stowarzyszenie Studentów Fizyki,Organizacja międzynarodowego konkursu planowania przyszłych badań naukowych ScienCon 2022,50182,2021-12-31,SON I konkurs II,Popularyzacja
116,SONP/SN/512161/2021,Polskie Towarzystwo Astronomiczne,Portal internetowy Urania - Polski Portal Astronomiczny z ogólnopolskim systemem AstroGPS,131400,2021-12-31,SON I konkurs II,Popularyzacja
117,SONP/SN/512163/2021,Polskie Towarzystwo Astronomiczne,Przewodnik astronomiczny po Polsce,105000,2021-12-31,SON I konkurs II,Popularyzacja
118,SONP/SN/512761/2021,Polskie Towarzystwo Ludoznawcze,Tworzenie internetowej bazy danych Bibliografii Etnografii Polskiej - kontynuacja na 2021 rok,35499,2021-12-31,SON I konkurs II,Popularyzacja
119,SONP/SN/515999/2021,Polskie Towarzystwo Miłośników Astronomii,OMSA : Ogólnopolskie Młodzieżowe Seminarium Astronomiczno - Astronautyczne,71079,2021-12-31,SON I konkurs II,Popularyzacja
120,SONP/SN/514458/2021,Polskie Towarzystwo Mykologiczne,MYKOTEKA,106700,2021-12-31,SON I konkurs II,Popularyzacja
121,SONP/SP/515342/2021,Polskie Towarzystwo Nauk Weterynaryjnych,Koziarstwo w Polsce - nauka i praktyka,20000,2021-12-31,SON I konkurs II,Popularyzacja
122,SONP/SP/514634/2021,"Sieć Badawcza ŁUKASIEWICZ - Instytut Ciężkiej Syntezy Organicznej ""Blachownia""",Magia Światła Łukasiewicza - warsztaty chemiczne dla dzieci w wieku przedszkolnym i szkolnym- etap 1,150000,2021-12-31,SON I konkurs II,Popularyzacja
